Sample	Confident Inferred Pop: 1SD	Confident Inferred Pop: 2SD	Confident Inferred Pop: 3SD	Less Restricted Inferred Pop	Distance to cluster Africa	Distance to cluster East_Asia	Distance to cluster Europe	Distance to cluster South_Asia
GTEX-R55E-0003-SM-5URBX	-	-	Europe	Europe	0.08122	0.08516	0.00677	0.04541
GTEX-R55G-0003-SM-5URBQ	-	-	-	Europe	0.08283	0.08741	0.00906	0.04768
GTEX-REY6-0004-SM-5URD2	-	Europe	Europe	Europe	0.07737	0.08014	0.00207	0.04032
GTEX-RM2N-0002-SM-5SOEB	-	-	Europe	Europe	0.08206	0.08447	0.00632	0.04480
GTEX-RN64-0004-SM-5URBC	-	Europe	Europe	Europe	0.08125	0.08401	0.00572	0.04430
GTEX-RNOR-0001-SM-5URCF	-	Europe	Europe	Europe	0.08108	0.08381	0.00550	0.04409
GTEX-RU1J-0002-SM-5URDF	-	-	-	Africa	0.01245	0.09235	0.07580	0.07269
GTEX-RU72-0004-SM-5SOEJ	-	-	-	East_Asia	0.12593	0.05412	0.13210	0.09385
GTEX-RUSQ-0001-SM-5JK34	-	-	Europe	Europe	0.08265	0.08701	0.00866	0.04728
GTEX-RWS6-0004-SM-5JK3Z	-	-	Europe	Europe	0.08220	0.08678	0.00840	0.04703
GTEX-RWSA-0003-SM-5JK4L	-	-	Europe	Europe	0.08207	0.08591	0.00757	0.04618
GTEX-S32W-0001-SM-5JK4N	-	-	Europe	Europe	0.08104	0.08630	0.00790	0.04651
GTEX-S341-0001-SM-5JK33	-	-	-	Africa	0.01660	0.09948	0.08957	0.08404
GTEX-S4P3-0004-SM-5JK4R	-	-	Europe	Europe	0.08233	0.08631	0.00798	0.04659
GTEX-S4Q7-0001-SM-5JK3A	-	Europe	Europe	Europe	0.07657	0.07804	0.00107	0.03823
GTEX-S4UY-0003-SM-5JK3Y	-	Europe	Europe	Europe	0.07639	0.07803	0.00126	0.03821
GTEX-S4Z8-0003-SM-5JK3I	-	-	-	Europe	0.08269	0.08749	0.00912	0.04775
GTEX-S7PM-0926-SM-5JK36	-	-	-	East_Asia-South_Asia	0.07860	0.01704	0.06181	0.02377
GTEX-S7SE-0004-SM-5JK4E	-	-	Europe	Europe	0.08251	0.08710	0.00873	0.04736
GTEX-S95S-0004-SM-5JK3U	-	-	-	Europe	0.08274	0.08740	0.00904	0.04767
GTEX-SIU7-0002-SM-5JK4G	-	-	-	Europe	0.08256	0.08739	0.00901	0.04764
GTEX-SIU8-0002-SM-5JK47	-	-	Europe	Europe	0.08216	0.08573	0.00742	0.04601
GTEX-SN8G-0002-SM-5JK4B	-	-	Europe	Europe	0.08198	0.08686	0.00846	0.04709
GTEX-SNOS-0004-SM-5SOEL	-	-	-	Africa-Europe	0.02719	0.08371	0.05383	0.05634
